danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.752,0.83,8,-3.187,0,0.0458,0.0651,0.0,0.105,0.442,124.952,184820,4
0.847,0.724,1,-5.41,1,0.298,0.0869,1.11e-06,0.118,0.396,94.601,216328,4
0.835,0.824,1,-3.928,1,0.288,0.0416,2.52e-06,0.122,0.323,93.932,121920,4
0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,197053,4
0.761,0.827,11,-4.189,0,0.0659,0.385,6.42e-05,0.095,0.568,97.021,225661,4
0.856,0.628,9,-4.713,0,0.0516,0.12,0.000115,0.146,0.844,120.023,177500,4
0.419,0.303,6,-8.056,0,0.0551,0.845,0.0,0.157,0.378,166.693,173604,4
0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,100.065,195987,4
0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,186000,4
0.715,0.886,0,-4.446,1,0.0421,0.287,0.000165,0.329,0.748,90.005,195373,4
0.842,0.756,7,-7.409,0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,172798,4
0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,142335,3
0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,174230,4
0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,225827,4
0.564,0.612,0,-5.018,1,0.0248,0.382,0.0,0.11,0.146,83.03,237493,3
0.585,0.854,11,-5.693,0,0.0593,0.0529,0.0,0.137,0.328,119.99,219303,4
0.591,0.46,4,-9.219,1,0.0313,0.0703,8.53e-06,0.0833,0.187,147.984,270933,4
0.658,0.865,11,-4.282,1,0.0354,0.218,0.0,0.264,0.826,152.029,146867,4
0.375,0.75,5,-4.048,1,0.0328,0.345,9.15e-06,0.0943,0.565,178.636,196027,3
0.427,0.278,10,-8.83,1,0.0331,0.47,2.22e-05,0.135,0.374,85.633,199875,3
0.463,0.595,0,-5.952,1,0.0282,0.169,0.027,0.359,0.454,162.983,206929,4
0.442,0.644,10,-5.787,0,0.0378,0.347,1.73e-06,0.128,0.34,117.379,216573,4
0.617,0.369,3,-8.078,1,0.0285,0.22,0.000365,0.11,0.257,73.008,184107,4
0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,211413,4
0.479,0.926,10,-2.014,1,0.0495,0.0686,0.0,0.0983,0.564,140.154,165836,4
0.647,0.776,7,-5.221,1,0.0514,0.00686,0.0,0.119,0.268,103.919,162733,4
0.444,0.629,9,-4.435,1,0.0318,0.00544,0.0,0.271,0.376,134.931,200347,3
0.647,0.477,6,-8.264,1,0.0356,0.0585,0.0,0.159,0.477,142.034,184949,4
0.46,0.571,4,-5.85,1,0.0354,0.226,0.0,0.273,0.528,138.629,200133,4
0.659,0.865,7,-4.416,1,0.0541,0.0164,0.0,0.134,0.761,126.998,201485,4
0.559,0.704,2,-7.686,1,0.0338,0.0177,0.0,0.0821,0.422,89.985,187269,4
0.619,0.564,4,-6.517,1,0.0302,0.673,0.0,0.184,0.419,129.944,220146,4
0.62,0.706,3,-4.176,1,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,188483,4
0.522,0.223,1,-9.561,0,0.0345,0.753,0.0,0.165,0.439,97.045,194440,4
0.484,0.753,2,-5.23,1,0.0503,0.11,5.95e-06,0.193,0.281,80.995,216673,4
0.567,0.524,0,-5.537,1,0.0296,0.428,0.0,0.0963,0.129,77.076,190540,4
0.509,0.793,1,-3.229,1,0.0376,0.25,0.0,0.236,0.767,165.964,227892,4
0.457,0.725,1,-5.979,1,0.0318,8.66e-05,0.000126,0.13,0.318,141.936,174992,4
0.683,0.554,6,-7.487,0,0.05,0.379,0.00011,0.0845,0.452,85.455,181499,4
0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,222800,4
0.573,0.795,10,-5.561,1,0.0558,0.129,1.78e-05,0.186,0.705,128.101,181067,4
0.649,0.844,8,-4.352,1,0.0335,0.0518,0.0,0.106,0.542,120.972,157800,4
0.518,0.557,1,-4.839,1,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,218160,3
0.467,0.908,11,-4.164,0,0.0511,0.0419,0.0,0.277,0.459,160.036,195488,4
0.684,0.686,4,-4.833,1,0.0287,0.171,0.0,0.173,0.501,110.476,259876,4
0.604,0.881,11,-4.036,1,0.0544,0.0272,0.0,0.263,0.74,104.942,179229,4
0.65,0.689,0,-3.543,1,0.0449,0.0878,0.0,0.172,0.294,136.03,142520,4
0.529,0.866,3,-5.816,0,0.0452,0.00281,0.00526,0.0287,0.55,116.004,163600,4
0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231,4
0.563,0.755,5,-4.504,1,0.0253,0.0134,0.0,0.399,0.811,92.988,177400,4
0.592,0.796,6,-5.59,1,0.0284,0.0769,0.0,0.103,0.512,132.029,176372,4
0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,167535,4
0.431,0.837,9,-5.067,1,0.0432,0.259,0.0,0.0879,0.648,170.041,179294,4
0.667,0.671,1,-4.2,0,0.0496,0.413,0.0,0.0809,0.695,83.962,171080,4
0.696,0.555,11,-7.035,1,0.0353,0.0603,0.0,0.175,0.577,104.989,191627,4
0.448,0.632,5,-4.083,1,0.0297,0.134,0.0,0.317,0.418,76.968,182086,4
0.659,0.823,4,-5.77,0,0.0415,0.0174,1.82e-06,0.11,0.405,112.931,183680,4
0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,239533,4
0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,267893,4
0.591,0.756,8,-4.573,1,0.0403,0.234,1.44e-06,0.097,0.46,139.991,183907,3
0.661,0.707,7,-7.19,1,0.0285,0.628,1.85e-06,0.0852,0.385,105.917,172853,4
0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,189987,4
0.702,0.878,1,-6.734,0,0.0394,0.242,0.695,0.0988,0.111,124.996,134400,3
0.614,0.648,6,-8.622,1,0.0693,0.137,0.0112,0.118,0.335,133.962,197612,4
0.62,0.935,1,-0.504,1,0.252,0.228,0.00443,0.0601,0.559,87.532,177292,4
0.577,0.955,11,-3.008,0,0.0664,0.0154,0.463,0.124,0.462,156.026,151538,4
0.745,0.932,6,-4.992,1,0.0507,0.111,0.0561,0.136,0.928,128.0,192187,4
0.876,0.803,1,-5.092,0,0.054,0.213,0.398,0.0572,0.696,125.988,170953,4
0.804,0.962,0,-6.81,1,0.0487,0.00224,0.886,0.0777,0.432,125.011,138725,4
0.461,0.868,5,-10.24,1,0.0611,0.351,0.777,0.246,0.0302,123.99,256860,4
0.802,0.858,10,-5.262,0,0.0483,0.00745,0.809,0.0874,0.355,122.008,263610,4
0.646,0.779,4,-10.793,0,0.0423,0.000542,0.821,0.112,0.127,122.0,371897,4
0.741,0.879,1,-6.132,0,0.0425,0.0841,0.0433,0.126,0.362,123.004,201713,4
0.553,0.745,5,-7.064,1,0.032,0.0542,0.432,0.168,0.0664,123.003,302741,4
0.453,0.941,0,-3.101,0,0.286,0.0501,0.00022,0.206,0.583,184.063,264293,4
0.772,0.681,1,-6.7,1,0.0597,0.143,0.00237,0.106,0.761,160.039,135000,4
0.76,0.766,11,-7.167,0,0.0429,0.0281,0.619,0.128,0.469,130.022,217946,4
0.791,0.891,5,-7.625,0,0.0579,0.38,0.426,0.38,0.193,132.037,133636,4
0.574,0.946,11,-5.324,0,0.0443,0.185,0.0364,0.0806,0.182,148.042,186240,4
0.724,0.965,0,-6.195,1,0.0497,5.75e-05,0.859,0.705,0.753,147.023,240250,4
0.587,0.937,2,-4.783,0,0.0389,0.0565,5.83e-05,0.154,0.278,134.969,229337,4
0.561,0.95,10,-3.11,1,0.0537,0.061,0.00519,0.115,0.0467,139.926,241714,4
0.728,0.884,1,-5.426,1,0.0444,0.0403,0.815,0.0783,0.371,129.985,194423,4
0.847,0.869,0,-7.03,1,0.053,0.0117,0.49,0.0436,0.773,124.994,338447,4
0.797,0.834,6,-8.064,1,0.0485,0.0011,0.711,0.0831,0.39,126.014,228571,4
0.675,0.633,1,-4.362,1,0.0363,0.00413,1.15e-05,0.556,0.146,103.992,207692,4
